,Symbol,Net incomeFY,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dilTTM,EPS dil growthTTM YoY,Div yield %TTM,Sector,Analyst Rating
0,DANGCEMDANGOTE CEMENT PLC,375.988B NGN,328.00 NGN,0.00%,10.446K,0.11,5.495T NGN,12.75,25.73 NGN,+47.91%,+6.10%,Non-Energy Minerals,Buy
1,MTNNMTN NIGERIA COMMUNICATIONS PLC,361.532B NGN,238.00 NGN,0.00%,1.725M,0.57,4.997T NGN,20.27,11.74 NGN,−31.50%,+6.55%,Communications,Buy
2,ZENITHBANKZENITH BANK PLC,224.05B NGN,34.70 NGN,+3.58%,22.579M,2.14,1.089T NGN,2.45,14.17 NGN,—,+9.80%,Finance,Strong buy
3,GTCOGUARANTY TRUST HOLDING COMPANY PLC,166.737B NGN,39.00 NGN,+0.13%,3.543M,0.23,1.148T NGN,2.83,13.79 NGN,—,+8.46%,Finance,Strong buy
4,UBAUNITED BANK FOR AFRICA PLC - NIGERIA,165.451B NGN,20.85 NGN,+0.48%,32.07M,1.27,713.058B NGN,1.44,14.46 NGN,—,+6.71%,Finance,Strong buy
5,ACCESSCORPACCESS HOLDINGS PLC,155.838B NGN,17.35 NGN,+0.58%,12.304M,1.00,594.897B NGN,2.18,7.94 NGN,—,+9.22%,Finance,Buy
6,FBNHFBN HOLDINGS PLC,134.403B NGN,20.00 NGN,+5.26%,13.88M,2.16,897.382B NGN,2.59,7.71 NGN,—,+2.48%,Finance,Strong sell
7,BUACEMENTBUA CEMENT PLC,101.011B NGN,104.00 NGN,0.00%,423.925K,0.82,3.522T NGN,34.17,3.04 NGN,+4.97%,+2.69%,Non-Energy Minerals,Strong sell
8,BUAFOODSBUA FOODS PLC,91.344B NGN,202.80 NGN,0.00%,1.201K,0.01,3.65T NGN,30.50,6.65 NGN,+33.65%,+2.22%,Process Industries,—
9,STANBICSTANBIC IBTC HOLDINGS PLC,78.123B NGN,65.00 NGN,0.00%,19.308K,0.02,842.205B NGN,6.41,10.14 NGN,—,+5.38%,Finance,Neutral
10,DANGSUGARDANGOTE SUGAR REFINERY PLC,54.738B NGN,60.00 NGN,0.00%,565.212K,0.35,728.813B NGN,252.53,0.24 NGN,−90.80%,+2.50%,Process Industries,Neutral
11,WAPCOLAFARGE CEMENT WAPCO PLC,53.647B NGN,29.50 NGN,0.00%,788.006K,0.49,475.18B NGN,9.90,2.98 NGN,−13.52%,+6.78%,Non-Energy Minerals,Strong buy
12,NESTLENESTLE PLC - NIGERIA,48.965B NGN,1050.00 NGN,0.00%,3.204K,0.01,832.289B NGN,—,−33.75 NGN,−157.41%,+5.86%,Consumer Non-Durables,Buy
13,FIDELITYBKFIDELITY BANK PLC,46.724B NGN,9.00 NGN,+1.12%,13.302M,0.57,288.11B NGN,2.94,3.06 NGN,—,+7.22%,Finance,Buy
14,FCMBFCMB GROUP PLC,30.901B NGN,6.85 NGN,+1.48%,13.819M,1.45,135.649B NGN,2.58,2.66 NGN,—,+3.65%,Finance,Buy
15,UBNUNION BANK OF NIGERIA PLC,29.306B NGN,6.65 NGN,0.00%,0,0.00,193.653B NGN,4.31,1.54 NGN,—,0.00%,Finance,—
16,OKOMUOILOKOMU OIL PALM CO PLC,16.231B NGN,240.00 NGN,0.00%,58.081K,0.42,228.938B NGN,11.99,20.02 NGN,+6.20%,+8.75%,Process Industries,Neutral
17,TOTALTOTALENERGIES MARKETING NIGERIA PLC,16.118B NGN,385.00 NGN,0.00%,8.179K,0.58,130.716B NGN,9.06,42.51 NGN,−9.69%,+6.49%,Retail Trade,—
18,NBNIGERIAN BREWERIES PLC,13.182B NGN,38.00 NGN,−2.56%,1.293M,0.42,390.493B NGN,—,−5.97 NGN,−412.44%,+3.55%,Consumer Non-Durables,Buy
19,PRESCOPRESCO PLC,13.032B NGN,189.90 NGN,+2.65%,1.473M,4.68,189.9B NGN,9.20,20.64 NGN,−1.58%,+4.63%,Consumer Non-Durables,Neutral
20,PZPZ CUSSONS NIGERIA PLC,12.893B NGN,23.00 NGN,0.00%,255.883K,0.09,91.321B NGN,7.08,3.25 NGN,+115.96%,+4.39%,Consumer Non-Durables,Neutral
