Symbol,Name,Price,Change %,Volume,Rel Volume,Market cap, P/E , EPS dilutedTTM ,EPS diluted growthTTM YoY,Div yield %TTM,Sector,Analyst Rating
ABBEYBDS,ABBEY BUILDING SOCIETY PLC,1.86,0.00,0.0,0," 18,886,000,000.00 ",20.92,0.09,,0.00,Finance,
ABCTRANS,ASSOCIATED BUS COMPANY PLC,0.93,2.11," 2,082,000.00 ",2.06," 2,273,000,000.00 ",,0.05,0.36,0.00,Transportation,
ACADEMYA,ACADEMY PRESS PLC,1.70,5.56,2313000.0,16.55," 1,361,000,000.00 ",,0.25,2.11,0.06,Consumer Services,
ACCESSCORP,ACCESS HOLDINGS PLC,17.25,0.00,851000.0,0.7," 591,468,000,000.00 ",2.17,7.94,,0.09,Finance,Buy
AFRIPRUD,AFRICA PRUDENTIAL REGISTRARS PLC,6.55,0.00,606088.0,1.05," 13,100,000,000.00 ",-16.58,0.54,0.30,0.08,Technology Services,Neutral
AIICO,AIICO INSURANCE PLC,0.77,2.67,2854000.0,0.35," 27,454,000,000.00 ",,0.20,0.11,0.04,Finance,
ALEX,ALUMINIUM EXTRUSION INDUSTRIES PLC,7.15,0.00,0.0,0," 1,573,000,000.00 ",-20.91,0.94,9.73,0.01,Non-Energy Minerals,
ARBICO,ARBICO PLC,1.03,0.00,0.0,0," 152,955,000.00 ",-29.56,,,0.00,Industrial Services,
BERGER,BERGER PAINTS PLC - NIGERIA,13.00,0.00,120957.0,0.54," 3,768,000,000.00 ",8.52,1.53,0.76,0.05,Process Industries,
BETAGLAS,BETA GLASS PLC,59.40,100.00,489814.0,17.29," 32,398,000,000.00 ",5.02,11.83,0.36,0.02,Process Industries,
BUACEMENT,BUA CEMENT PLC,104.00,0.00,322078.0,0.57," 3,522,000,000,000.00 ",34.17,3.04,0.05,0.03,Non-Energy Minerals,Strong sell
BUAFOODS,BUA FOODS PLC,202.80,0.00,546898.0,11.84," 3,650,000,000,000.00 ",30.50,6.65,0.34,0.02,Process Industries,
